132.00,4.14,95.00,296.69,-41.25,23.75
133.00,4.11,92.64,255.12,-29.50,22.00
134.00,4.14,95.00,288.50,5.00,1.25
135.00,4.14,95.00,291.06,2.31,4.75
136.00,4.14,95.00,291.00,2.06,4.75
137.00,4.14,94.71,291.00,2.06,4.75
138.00,4.14,95.00,291.00,2.06,4.75
139.00,4.14,94.86,291.00,2.06,4.75
140.00,4.14,95.00,291.00,2.06,4.75
141.00,4.14,94.86,288.56,-4.25,4.00
142.00,4.14,95.00,246.19,-2.81,6.69
143.00,4.14,94.86,245.69,-0.37,6.37
144.00,4.11,92.34,245.75,0.06,6.37
145.00,4.14,94.71,245.75,0.06,6.37
146.00,4.14,95.00,245.75,0.06,6.37
147.00,4.14,95.00,245.75,0.06,6.37
148.00,4.13,94.56,245.75,0.06,6.37
149.00,4.14,94.86,245.75,0.06,6.37
150.00,4.14,95.00,245.75,0.06,6.37
151.00,4.11,92.34,245.75,0.06,6.37
152.00,4.14,95.00,245.75,0.06,6.37
153.00,4.14,95.00,245.75,0.06,6.37
154.00,4.14,95.00,245.75,0.06,6.37
155.00,4.13,94.41,245.75,0.06,6.37
156.00,4.13,94.56,245.75,0.06,6.37
157.00,4.14,94.86,245.75,0.06,6.37
158.00,4.14,95.00,245.75,0.06,6.37
159.00,4.13,94.41,245.75,0.06,6.37
160.00,4.14,95.00,245.75,0.06,6.37
161.00,4.14,94.71,245.75,0.06,6.37
162.00,4.14,94.71,245.75,0.06,6.37
163.00,4.14,94.71,245.75,0.06,6.37
164.00,4.14,95.00,245.75,0.06,6.37
165.00,4.14,94.86,245.75,0.06,6.37
166.00,4.14,95.00,245.75,0.06,6.37
167.00,4.14,94.86,245.75,0.06,6.37
168.00,4.14,94.86,245.75,0.06,6.37
169.00,4.11,92.20,245.75,0.06,6.37
170.00,4.14,94.86,245.75,0.06,6.37
171.00,4.14,94.71,245.75,0.06,6.37
172.00,4.14,95.00,245.75,0.06,6.37
173.00,4.14,94.71,245.75,0.06,6.37
174.00,4.13,94.56,245.75,0.06,6.37
175.00,4.14,95.00,245.75,0.06,6.37
176.00,4.14,94.71,245.75,0.06,6.37
177.00,4.13,94.41,245.75,0.06,6.37
178.00,4.14,95.00,245.75,0.06,6.37
179.00,4.14,94.71,245.75,0.06,6.37
180.00,4.14,94.71,245.75,0.06,6.37
181.00,4.14,95.00,245.75,0.06,6.37
182.00,4.13,94.56,245.75,0.06,6.37
183.00,4.13,94.56,245.75,0.06,6.37
184.00,4.13,94.26,245.75,0.06,6.37
185.00,4.14,94.86,245.75,0.06,6.37
186.00,4.14,95.00,245.75,0.06,6.37
187.00,4.10,91.90,245.75,0.06,6.37
188.00,4.14,94.71,245.75,0.06,6.37
189.00,4.13,94.56,245.75,0.06,6.37
190.00,4.14,94.71,245.75,0.06,6.37
191.00,4.13,94.26,245.75,0.06,6.37
192.00,4.13,94.56,245.75,0.06,6.37
193.00,4.14,94.71,245.75,0.06,6.37
194.00,4.14,94.86,245.75,0.06,6.37
195.00,4.13,94.26,245.75,0.06,6.37
196.00,4.14,94.71,245.75,0.06,6.37
197.00,4.14,94.71,245.75,0.06,6.37
198.00,4.10,91.90,245.75,0.06,6.37
199.00,4.14,94.86,245.75,0.06,6.37
200.00,4.13,94.26,245.75,0.06,6.37
201.00,4.14,95.00,245.75,0.06,6.37
202.00,4.13,94.41,245.75,0.06,6.37
203.00,4.14,94.86,245.75,0.06,6.37
204.00,4.13,94.56,245.75,0.06,6.37
205.00,4.10,91.75,245.75,0.06,6.37
206.00,4.13,94.41,245.75,0.06,6.37
207.00,4.14,94.71,245.75,0.06,6.37
208.00,4.14,94.71,245.75,0.06,6.37
209.00,4.13,94.12,245.75,0.06,6.37
210.00,4.13,94.26,245.75,0.06,6.37
211.00,4.14,94.71,245.75,0.06,6.37
212.00,4.13,94.41,245.75,0.06,6.37
213.00,4.13,94.12,245.75,0.06,6.37
214.00,4.13,94.56,245.75,0.06,6.37
215.00,4.13,94.56,245.75,0.06,6.37
216.00,4.13,94.41,245.75,0.06,6.37
217.00,4.12,93.67,245.75,0.06,6.37
218.00,4.13,94.26,245.75,0.06,6.37
219.00,4.13,94.12,245.75,0.06,6.37
220.00,4.13,93.97,245.75,0.06,6.37
221.00,4.13,94.12,245.75,0.06,6.37
222.00,4.13,93.97,245.75,0.06,6.37
223.00,4.10,91.90,245.75,0.06,6.37
224.00,4.13,94.56,245.75,0.06,6.37
225.00,4.13,94.12,245.75,0.06,6.37
226.00,4.13,93.97,245.75,0.06,6.37
227.00,4.13,94.12,245.75,0.06,6.37
228.00,4.13,94.26,245.75,0.06,6.37
229.00,4.13,94.26,245.75,0.06,6.37
230.00,4.10,91.75,245.75,0.06,6.37
231.00,4.13,94.56,245.75,0.06,6.37
232.00,4.13,94.26,245.75,0.06,6.37
233.00,4.13,94.26,245.75,0.06,6.37
234.00,4.13,93.82,245.75,0.06,6.37
235.00,4.13,94.12,245.75,0.06,6.37
236.00,4.13,94.26,245.75,0.06,6.37
237.00,4.13,94.12,245.75,0.06,6.37
238.00,4.12,93.67,245.75,0.06,6.37
239.00,4.13,94.41,245.75,0.06,6.37
240.00,4.12,93.67,245.75,0.06,6.37
241.00,4.12,93.53,245.75,0.06,6.37
242.00,4.13,93.97,245.75,0.06,6.37
243.00,4.12,93.67,245.75,0.06,6.37
244.00,4.13,93.97,245.75,0.06,6.37
245.00,4.13,93.82,245.75,0.06,6.37
246.00,4.13,94.12,245.75,0.06,6.37
247.00,4.13,93.97,245.75,0.06,6.37
248.00,4.10,91.31,245.75,0.06,6.37
249.00,4.12,93.67,245.75,0.06,6.37
250.00,4.13,93.97,245.75,0.06,6.37
251.00,4.12,93.53,245.75,0.06,6.37
252.00,4.12,93.38,245.75,0.06,6.37
253.00,4.13,93.97,245.75,0.06,6.37
254.00,4.13,93.97,245.75,0.06,6.37
255.00,4.10,91.75,245.75,0.06,6.37
256.00,4.13,93.97,245.75,0.06,6.37
257.00,4.12,93.67,245.75,0.06,6.37
258.00,4.12,93.67,245.75,0.06,6.37
259.00,4.12,93.67,245.75,0.06,6.37
260.00,4.12,93.53,245.75,0.06,6.37
261.00,4.12,93.53,245.75,0.06,6.37
262.00,4.13,94.26,245.75,0.06,6.37
263.00,4.12,93.53,245.75,0.06,6.37
264.00,4.13,94.12,245.75,0.06,6.37
265.00,4.12,93.67,245.75,0.06,6.37
